INFO  | 2018-06-27 11:25:31 | [pool-14-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1530073531478
INFO  | 2018-06-27 11:25:31 | [pool-15-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1530073531488
INFO  | 2018-06-27 11:25:31 | [pool-15-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, process tranfer success, time 1530073531492, elapsed time: 4
INFO  | 2018-06-27 11:25:31 | [pool-16-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1530073531499
INFO  | 2018-06-27 11:25:31 | [pool-16-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, process tranfer success, time 1530073531503, elapsed time: 4
INFO  | 2018-06-27 11:25:31 | [pool-17-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1530073531514
INFO  | 2018-06-27 11:25:31 | [pool-17-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, process tranfer success, time 1530073531517, elapsed time: 3
INFO  | 2018-06-27 11:25:31 | [pool-18-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1530073531522
INFO  | 2018-06-27 11:25:31 | [pool-19-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1530073531526
INFO  | 2018-06-27 11:25:31 | [pool-20-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1530073531531
INFO  | 2018-06-27 11:25:31 | [pool-21-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.QueryCassandraTest$MockQueryCassandra, Trigger time: 1530073531536
INFO  | 2018-06-27 16:25:53 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1530091553671
INFO  | 2018-06-27 16:25:53 | [pool-2-thread-1] ? (:) - CQL: INSERT INTO users (user_id, first_name, last_name, properties, bits, scaleset, largenum, scale, byteobject, ts) VALUES ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
INFO  | 2018-06-27 16:29:49 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, process tranfer success, time 1530091789040, elapsed time: 235369
INFO  | 2018-06-27 16:30:46 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1530091846500
INFO  | 2018-06-27 16:30:46 | [pool-2-thread-1] ? (:) - CQL: INSERT INTO users (user_id, first_name, last_name, properties, bits, scaleset, largenum, scale, byteobject, ts) VALUES ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
INFO  | 2018-06-27 17:08:10 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1530094090381
INFO  | 2018-06-27 17:08:10 | [pool-2-thread-1] ? (:) - CQL: INSERT INTO users (user_id, first_name, last_name, properties, bits, scaleset, largenum, scale, byteobject, ts) VALUES ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
INFO  | 2018-06-28 14:14:31 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1530170071817
INFO  | 2018-06-28 14:14:31 | [pool-2-thread-1] ? (:) - CQL: INSERT INTO users (user_id, first_name, last_name, properties, bits, scaleset, largenum, scale, byteobject, ts) VALUES ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
INFO  | 2018-06-28 14:16:58 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, process tranfer success, time 1530170218527, elapsed time: 146710
INFO  | 2018-06-28 16:35:55 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1530178555439
INFO  | 2018-06-28 16:35:55 | [pool-2-thread-1] ? (:) - CQL: INSERT INTO users (user_id, first_name, last_name, properties, bits, scaleset, largenum, scale, byteobject, ts) VALUES ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
INFO  | 2018-06-28 16:38:57 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, process tranfer success, time 1530178737104, elapsed time: 181665
INFO  | 2018-06-28 16:39:12 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1530178752604
INFO  | 2018-06-28 16:39:12 | [pool-2-thread-1] ? (:) - CQL: INSERT INTO users (user_id, first_name, last_name, properties, bits, scaleset, largenum, scale, byteobject, ts) VALUES ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
INFO  | 2018-06-28 16:45:18 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, process tranfer success, time 1530179118382, elapsed time: 365778
INFO  | 2018-06-28 16:45:28 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1530179128890
INFO  | 2018-06-28 16:45:28 | [pool-2-thread-1] ? (:) - CQL: INSERT INTO users (user_id, first_name, last_name, properties, bits, scaleset, largenum, scale, byteobject, ts) VALUES ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
INFO  | 2018-06-28 17:11:01 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, process tranfer success, time 1530180661024, elapsed time: 1532134
INFO  | 2018-06-29 10:11:19 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1530241879885
INFO  | 2018-06-29 10:11:19 | [pool-2-thread-1] ? (:) - CQL: UPDATE users SET cities = [ 'New York', 'Los Angeles' ] WHERE user_id = 'coast2coast';
